,title,prices,categories,diponibilitats,colors,dimensions
0,Robot de cocina Robotmix Multi-Touch RM990,"379,00", Robots de cocina ,"En stock, envío en 24h-48h",Negro,24x36x37cm
1,Robot Limpiacristales Samba W-Clean,"199,00", Robots limpia cristales ,"En stock, envío en 24h-48h",Blanco,‎26x24x11 cm
2,Horno-freidora de aire 12L. Air Power V120,"149,99", Blackisblack ,"En stock, envío en 24h-48h",Negro,33.6x33.7x36.9 cm
3,Ventilador de torre Newteck Dual 365 Negro,"139,00", Blackisblack ,"En stock, envío en 24h-48h",Negro,23.5x23.5x101 cm
4,Ventilador de torre Newteck Dual 365 Blanco,"139,00", Ventiladores de torre ,"En stock, envío en 24h-48h",Blanco,23.5x23.5x101 cm
5,Freidora de aire 5.5L. Air Power V55,"119,99", Blackisblack ,"En stock, envío en 24h-48h",Negro,31.4x37.9x32.6 cm
6,Calefactor portátil cerámico Newteck Rhapsody,"109,00", Blackisblack ,"En stock, envío en 24h-48h",Negro,26.3x82.5x26.3 cm
7,Freidora de aire 3.5L. Air Power V35,"94,99", Blackisblack ,"En stock, envío en 24h-48h",Negro,26x32x31.5 cm
8,Secadora portátil Secadry V150 XXL Azul,"84,90", Secadoras portátiles ,"En stock, envío en 24h-48h",Azul ,71.5x45x165 cm
9,Olla programable Newcook Delicious Blanca +  Báscula de cocina,"79,95", Ollas programables ,"En stock, envío en 24h-48h",Negro,33.5x29x33.8 cm
10,Olla programable Newcook Delicious Negra +  Báscula de cocina,"79,95", Blackisblack ,"En stock, envío en 24h-48h",Negro,33.5x29x33.8 cm
11,Secadora portátil Secadry V150 XXL Negra,"79,95", Blackisblack ,"En stock, envío en 24h-48h",Negro,71.5x45x165 cm
12,Robot de cocina multifunción 5L. Smartchef V100 digital,"79,90", Blackisblack ,"En stock, envío en 24h-48h",Negro,30x21.5x25.5 cm
13,Olla programable Newcook Delicious Blanca,"74,90", Ollas programables ,"En stock, envío en 24h-48h",Blanco,33.5x29x33.8 cm
14,Olla programable Newcook Delicious Negra,"74,90", Blackisblack ,"En stock, envío en 24h-48h",Negro,33.5x29x33.8 cm
15,Olla programable Chef Pot V110 + Báscula de cocina,"69,95", Blackisblack ,"En stock, envío en 24h-48h",Negro,33.5x29x33.8 cm
16,Aspirador sin cable Vertical Samba Clean Force Rojo,"64,90", Aspiradores sin cable ,"En stock, envío en 24h-48h",Rojo,65x24.9x17.8 cm
17,Olla programable Chef Pot V110,"64,90", Blackisblack ,"En stock, envío en 24h-48h",Negro,33.5x29x33.8 cm
18,Calefactor portátil Eléctrico Classic Flame – Termoventilador,"59,90", Blackisblack ,"En stock, envío en 24h-48h",Negro,35.5x46.5x25 cm
19,Robot de cocina 5L. Smart Chef V50 Negro,"49,90", Blackisblack ,"En stock, envío en 24h-48h",Negro,26x27.5x27 cm
20,Aspirador sólidos y líquidos Samba Efficient,"49,90", Aspiradores solidos y líquidos ,"En stock, envío en 24h-48h",Negro,33.5x33.5x48 cm
21,Aspirador trineo sin bolsa Samba Pure Rojo,"49,90", Aspiradores trineo ,"En stock, envío en 24h-48h",Rojo,20x24x28 cm
22,Placa de inducción portátil Newchef Go2000,"49,90", Blackisblack ,"En stock, envío en 24h-48h",Negro,31x27x6.3 cm
23,Robot de cocina 5L. Smart Chef V50 Blanco,"49,90", Robots de cocina ,"En stock, envío en 24h-48h",Blanco,26x27.5x27 cm
24,Juego de sartenes Newchef Folk 3pzs.,"44,90", Blackisblack ,"En stock, envío en 24h-48h",,
25,Tendedero de ropa vertical Fold Care V60 XXL Negro,"39,95", Blackisblack ,"En stock, envío en 24h-48h",Negro,
26,Aspirador con cable Vertical Infinity Power V800,"36,90", Aspiración ,"En stock, envío en 24h-48h",Negro,15.8x13.5x70.5 cm
27,Plancha de Cocina Eléctrica Newchef Bambú,"34,90", Otros aparatos de cocina ,"En stock, envío en 24h-48h",Madera,52x28x7 cm
28,Exprimidor eléctrico Newchef Juicer Classic Rojo,"34,90", Cocina ,"En stock, envío en 24h-48h",Rojo,28.5x23.5x18 cm
29,Exprimidor eléctrico Newchef Juicer Silver Negro,"34,90", Blackisblack ,"En stock, envío en 24h-48h",Negro,29x27.5x18 cm
30,Exprimidor eléctrico Newchef Juicer Excellence Blanco,"34,90", Exprimidores ,"En stock, envío en 24h-48h",Blanco,28.5x23.5x18.2 cm
31,Juego de cuchillos de cocina Newchef Onyx 6 pzs.,"19,00", Juegos de cuchillos de cocina ,"En stock, envío en 24h-48h",Negro,
32,Juego de cuchillos de cocina Newchef Holly 6 pzs.,"17,50", Juegos de cuchillos de cocina ,"En stock, envío en 24h-48h",Multicolor,
33,Kit Accesorios Aspirador sin cable Aspira Pro Azul,"14,90", Accesorios aspiradores ,"En stock, envío en 24h-48h",Azul,
34,Báscula Electrónica,"10,90", Menaje ,"En stock, envío en 24h-48h",Blanco,19.5x14x0.5 cm
